,Authors,Title,Source title,Year,Affiliations,Authors with affiliations,Author Keywords
973,Huang G.; Qiu Y.; Bi L.; Wei H.; Li G.; Li Z.; Ye P.; Yang M.; Shen Y.; Liu H.; Wang L.; Jin H.;,PET Imaging of P2X7 Receptor (P2X7R) for Neuroinflammation with Improved Radiosynthesis of Tracer [18F]4A in Mice and Non-human Primates,ACS Chemical Neuroscience,2022,"Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Center of Cyclotron and PET Radiopharmaceuticals, Department of Nuclear Medicine, PET/CT-MRI Center, The First Affiliated Hospital of Jinan University, Guangzhou, 510630, China","Huang G., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Qiu Y., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Bi L., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Wei H., Center of Cyclotron and PET Radiopharmaceuticals, Department of Nuclear Medicine, PET/CT-MRI Center, The First Affiliated Hospital of Jinan University, Guangzhou, 510630, China; Li G., Center of Cyclotron and PET Radiopharmaceuticals, Department of Nuclear Medicine, PET/CT-MRI Center, The First Affiliated Hospital of Jinan University, Guangzhou, 510630, China; Li Z., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Ye P., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Yang M., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Shen Y., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Liu H., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China; Wang L., Center of Cyclotron and PET Radiopharmaceuticals, Department of Nuclear Medicine, PET/CT-MRI Center, The First Affiliated Hospital of Jinan University, Guangzhou, 510630, China; Jin H., Guangdong Provincial Key Laboratory of Biomedical Imaging, Guangdong Provincial Engineering Research Center of Molecular Imaging, The Fifth Affiliated Hospital, Sun Yat-sen University, Guangdong, Zhuhai, 519000, China;",ATP; neurodegenerative diseases; neuroinflammation; P2X7 receptor (P2X7R); positron emission tomography (PET)
974,Fu Z.; Lin Q.; Xu Z.; Fu W.; Shi D.; Cheng Y.; Yang T.; Liu G.; Shi H.; Cheng D.;,Longitudinal Positron Emission Tomography Imaging with P2X7 Receptor-Specific Radioligand18F-FTTM in a Kainic Acid Rat Model of Temporal Lobe Epilepsy,ACS Chemical Neuroscience,2022,"Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China; Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China; Shanghai Institute of Medical Imaging, Shanghai, 200032, China","Fu Z., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Lin Q., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Xu Z., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Fu W., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Shi D., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Cheng Y., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Yang T., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Liu G., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Shi H., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China; Cheng D., Department of Nuclear Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China, Institute of Nuclear Medicine, Fudan University, Shanghai, 200032, China, Shanghai Institute of Medical Imaging, Shanghai, 200032, China;",kainic acid; neuroinflammation imaging; P2X7 receptor; positron emission tomography; temporal lobe epilepsy
975,Jiang B.; Ren Y.; Yang M.;,The period-luminosity relations of red supergiants,Proceedings of the International Astronomical Union,2022,"Institute for Frontiers in Astronomy and Astrophysics, Beijing Normal University, Beijing, 102206, China; Department of Astronomy, Beijing Normal University, Beijing, 100875, China; College of Physics and Electronic Engineering, Qilu Normal University, Jinan, 250200, China; National Astronomical Observatories, Chinese Academy of Sciences, Beijing, 100101, China","Jiang B., Institute for Frontiers in Astronomy and Astrophysics, Beijing Normal University, Beijing, 102206, China, Department of Astronomy, Beijing Normal University, Beijing, 100875, China; Ren Y., College of Physics and Electronic Engineering, Qilu Normal University, Jinan, 250200, China; Yang M., National Astronomical Observatories, Chinese Academy of Sciences, Beijing, 100101, China;",M31; M33; Magellanic Clouds; period-luminosity relation; red supergiant
976,Luo Z.H.; Qi W.L.; Jin A.F.; Liao F.X.; Liu Q.; Zeng Q.Y.;,The role of 18F-FDG PET/CT in patients with synchronous multiple primary malignant neoplasms occurring at the same time,Frontiers in Oncology,2022,"Department of Nuclear Medicine, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China; Department of Pathology, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China","Luo Z.H., Department of Nuclear Medicine, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China; Qi W.L., Department of Nuclear Medicine, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China; Jin A.F., Department of Nuclear Medicine, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China; Liao F.X., Department of Nuclear Medicine, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China; Liu Q., Department of Pathology, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China; Zeng Q.Y., Department of Nuclear Medicine, Jiangxi Provincial People’s Hospital (The First Affiliated Hospital of Nanchang Medical College), Nanchang, China;",         <sup>18</sup>F-fluorodeoxyglucose (<sup>18</sup>F-FDG); conventional imaging; diagnostic performance; positron emission tomography/computed tomography; synchronous multiple primary malignant neoplasms
977,Cai H.; Zou Y.; Gao H.; Huang K.; Liu Y.; Cheng Y.; Liu Y.; Zhou L.; Zhou D.; Chen Q.;,Radiological biomarkers of idiopathic normal pressure hydrocephalus: new approaches for detecting concomitant Alzheimer's disease and predicting prognosis,Psychoradiology,2022,"Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Department of Neurosurgery, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China","Cai H., Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Zou Y., Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Gao H., Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Huang K., Department of Neurosurgery, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Liu Y., Department of Neurosurgery, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Cheng Y., Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Liu Y., Department of Neurosurgery, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Zhou L., Department of Neurosurgery, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Zhou D., Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China; Chen Q., Department of Neurology, West China Hospital of Sichuan University, Sichuan, Chengdu, 610041, China;",Alzheimer's disease; idiopathic normal pressure hydrocephalus; magnetic resonance imaging; positron emission tomography; radiological biomarker
978,Cai Y.-F.; Ma X.-H.; Zhou Z.;,Highly non-Gaussian tails and primordial black holes from single-field inflation,Journal of Cosmology and Astroparticle Physics,2022,"Deep Space Exploration Laboratory, School of Physcial Sciences, University of Science and Technology of China, Hefei, Anhui, 230026, China; CAS Key Laboratory for Researches in Galaxies and Cosmology, Department of Astronomy, School of Astronomy and Space Science, University of Science and Technology of China, Hefei, Anhui, 230026, China; Kavli Institute for the Physics and Mathematics of the Universe (WPI), UTIAS, The University of Tokyo, Chiba, 277-8583, Japan; Center for Gravitational Physics and Quantum Information, Yukawa Institute for Theoretical Physics, Kyoto University, Kyoto, 606-8502, Japan; Leung Center for Cosmology and Particle Astrophysics, National Taiwan University, Taipei, 10617, Taiwan; Department of Applied Mathematics and Theoretical Physics, University of Cambridge, Wilberforce Road, Cambridge, CB3 0WA, United Kingdom; Department of Physics, Princeton University, Princeton, 08544, NJ, United States","Cai Y.-F., Deep Space Exploration Laboratory, School of Physcial Sciences, University of Science and Technology of China, Hefei, Anhui, 230026, China, CAS Key Laboratory for Researches in Galaxies and Cosmology, Department of Astronomy, School of Astronomy and Space Science, University of Science and Technology of China, Hefei, Anhui, 230026, China; Ma X.-H., Deep Space Exploration Laboratory, School of Physcial Sciences, University of Science and Technology of China, Hefei, Anhui, 230026, China, CAS Key Laboratory for Researches in Galaxies and Cosmology, Department of Astronomy, School of Astronomy and Space Science, University of Science and Technology of China, Hefei, Anhui, 230026, China; Zhou Z., Deep Space Exploration Laboratory, School of Physcial Sciences, University of Science and Technology of China, Hefei, Anhui, 230026, China, Department of Physics, Princeton University, Princeton, 08544, NJ, United States;",cosmological perturbation theory; inflation; primordial black holes
979, Ruggieri M.; Sahoo N.R.; Thakur D.;,Dynamics of hot QCD matter - Current status and developments,International Journal of Modern Physics E,2022,"School of Physical Sciences, Indian Institute of Technology Goa, Goa, Ponda, 403401, India; School of Physical and Applied Sciences, Goa University, Goa, India; Variable Energy Cyclotron Centre, HBNI, 1/AF Bidhan Nagar, Kolkata, 700064, India; Indian Institute of Technology Bhilai, GEC Campus, Sejbahar, Chhattisgarh, Raipur, 492015, India; Department of Physics, Indian Institute of Technology Indore, Simrol, Indore, 453552, India; Department of Physics, Bose Institute, West Bengal, Kolkata, 700091, India; Wigner Research Center for Physics, 29-33 Konkoly-Thege Miklós Street, Budapest, H-1121, Hungary; Indian Institute of Technology, Chennai, Tamil Nadu, Madras, 600036, India; School of Physical Sciences, National Institute of Science Education and Research, An OCC of Homi Bhabha National Institute, Khorda Odisha, Jatni, 752050, India; Department of Physics, Indian Institute of Technology Bombay, Maharashtra, Mumbai, 400076, India; Indian Institute of Technology Gandhinagar, Gujarat, Gandhinagar, 382355, India; Tata Institute of Fundamental Research, Homi Bhabha Road, Mumbai, 400005, India; Department of Physics, Dinabandhu Mahavidyalaya, Bongaon, West Bengal State University, P.O. Bongaon, North 24 Parganas, West Bengal, 743235, India; Department of Physics, Indian Institute of Technology Roorkee, Uttarakhand, Roorkee, 247667, India; Indian Institute of Science Education and Research, Rami Reddy Nagar, Mangalam, Tirupati, Andhra Pradesh, Tirupati, 517507, India; Department of Physics, Panjab University, Chandigarh, 160014, India; Department of Sciences, Amrita School of Physical Sciences, Coimbatore Amrita Vishwa Vidyapeetham, Amritanagar, Tamil Nadu, Ettimadai, 641112, India; Veksler and Baldin Laboratory of High Energy Physics, Joint Institute for Nuclear Research, Moscow Region, Dubna, 141980, Russian Federation; School of Nuclear Science and Technology, Lanzhou University, 222 South Tianshui Road, Lanzhou, 730000, China; Amrita School of Physical Sciences, Amrita Vishwa Vidyapeetham, Amritapuri Kollam, Kerala, 690525, India; Institute of Frontier and Interdisciplinary Science, Shandong University, Qingdao, Shandong, 266237, China; China and Key Laboratory of Particle Physics and Particle Irradiation, Shandong University, Qingdao, Shandong, 266237, China; Mukesh Patel School of Technology Management and Engineering, NMIMS University, Maharashtra, Mumbai, 400056, India; Institute of Modern Physics, Chinese Academy of Sciences, Lanzhou, Gansu, 730000, China; Istituto Nazionale Di Fisica Nucleare - Sezione di Bologna, via Irnerio 46 BO, Bologna, 40126, Italy"," Ruggieri M., School of Nuclear Science and Technology, Lanzhou University, 222 South Tianshui Road, Lanzhou, 730000, China; Sahoo N.R., Institute of Frontier and Interdisciplinary Science, Shandong University, Qingdao, Shandong, 266237, China, China and Key Laboratory of Particle Physics and Particle Irradiation, Shandong University, Qingdao, Shandong, 266237, China; Thakur D., Institute of Modern Physics, Chinese Academy of Sciences, Lanzhou, Gansu, 730000, China;",Heavy ion collisions; heavy quark; jets; quark-gluon plasma; strangeness
980,You B.; Xiao L.; Dai W.; Sun X.; Huang G.;,A congestion-aware and fault-tolerant readout network ASIC for a high-density electrode array targeting at neutrinoless double-beta decay search in a TPC,Journal of Instrumentation,2022,"Department of Physics, Central China Normal University, Hubei, Wuhan, 430079, China; Nuclear Science Division, Lawrence Berkeley National Laboratory, 94720, CA, United States","You B., Department of Physics, Central China Normal University, Hubei, Wuhan, 430079, China; Xiao L., Department of Physics, Central China Normal University, Hubei, Wuhan, 430079, China; Dai W., Department of Physics, Central China Normal University, Hubei, Wuhan, 430079, China; Sun X., Department of Physics, Central China Normal University, Hubei, Wuhan, 430079, China; Huang G., Department of Physics, Central China Normal University, Hubei, Wuhan, 430079, China;",CMOS readout of gaseous detectors; Double-beta decay detectors; Time projection Chambers (TPC); VLSI circuits
981,Wang S.; Lin M.; Yang X.; Lin Z.; Jiang J.; Chen G.; Ao Y.; Gao J.; Cheng L.; Ding J.;,A novel predictive model for distinguishing mediastinal lymphomas from thymic epithelial tumours,European Journal of Cardio-thoracic Surgery,2022,"Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Department of Thoracic Surgery, Zhongshan Hospital, Fudan University (Xiamen Branch), Shanghai, China; Department of Nuclear Medicine, Zhongshan Hospital, Fudan University; Institute of Nuclear Medicine, Fudan University, Shanghai, China; Department of Pathology, Zhongshan Hospital, Fudan University, Shanghai, China; Department of Hematology, Zhongshan Hospital, Fudan University, Shanghai, China","Wang S., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Lin M., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Yang X., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Lin Z., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University (Xiamen Branch), Shanghai, China; Institute of Nuclear Medicine, Fudan University, Shanghai, China; Jiang J., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Chen G., Department of Pathology, Zhongshan Hospital, Fudan University, Shanghai, China; Ao Y., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Gao J., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China; Institute of Nuclear Medicine, Fudan University, Shanghai, China; Cheng L., Department of Hematology, Zhongshan Hospital, Fudan University, Shanghai, China; Ding J., Department of Thoracic Surgery, Zhongshan Hospital, Fudan University, Shanghai, China;",Lymphoma; Nomogram; Positron emission tomography-computed tomography; SUV; Thymic epithelial tumours
982,Wen J.; Li L.; Yuan L.; Li J.; Ning P.;,Insight into the weak interaction between organic primary amine and propionic acid or phenol solvents in solvent extraction,Journal of Molecular Liquids,2022,"School of new energy and materials, China University of Petroleum (Beijing), Beijing 102249, China; Institute of process engineering, Chinese Academy of Sciences, Beijing 100190, China","Wen J., School of new energy and materials, China University of Petroleum (Beijing), Beijing 102249, China; Li L., School of new energy and materials, China University of Petroleum (Beijing), Beijing 102249, China; Yuan L., Institute of process engineering, Chinese Academy of Sciences, Beijing 100190, China; Li J., School of new energy and materials, China University of Petroleum (Beijing), Beijing 102249, China; Ning P., Institute of process engineering, Chinese Academy of Sciences, Beijing 100190, China;",Ion species；N1923; Reactive activity; Solvent extraction; Weak interaction
983,Xing H.; Yang L.; Wang L.; Wang L.; Meng Q.; Li M.; Lu D.; Ye G.; Liu H.;,"Solvent effects on the interaction between alkali metal cations and 1,3-Diisopropoxycalix [4] arenecrown-6: Nuclear magnetic resonance spectroscopy and Independent Gradient Model Non-Covalent interactions analysis",Journal of Molecular Liquids,2022,"CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China; School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China; Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China; Department of Chemical Engineering, Tsinghua University, Beijing, 10084, China; Institute of Nuclear and New Energy Technology, Tsinghua University, Beijing, 100084, China","Xing H., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China, School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China; Yang L., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China, School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China; Wang L., School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China; Wang L., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China; Meng Q., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China, School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China; Li M., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China, School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China; Lu D., Department of Chemical Engineering, Tsinghua University, Beijing, 10084, China; Ye G., Institute of Nuclear and New Energy Technology, Tsinghua University, Beijing, 100084, China; Liu H., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China, School of Chemical Engineering, University of the Chinese Academy of Sciences, Beijing, 100049, China, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China;",Alkali Metal Cations; BPC6; IGM Analysis; NMR; Solvent Effects; Weak Interaction
984,Lou Y.; Wu D.; Liao Y.; Fang C.; Pu Y.; Xie J.;,A in-plane biaxial strain tunable electronic structures and magnetic properties of Fe2C monolayer,Journal of Magnetism and Magnetic Materials,2022,"College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China","Lou Y., College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China; Wu D., College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China; Liao Y., College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China; Fang C., College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China; Pu Y., College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China; Xie J., College of Physics and Electronic Science, Guizhou Normal University, Guiyang, 550001, China;",Biaxial strain; Curie temperature; First-principles calculation; Magnetic anisotropy energy; Monte Carlo simulations; MXene
985,Hu L.; Xu Y.; Zhang P.; Yan S.; Kong X.;,Long-distance entanglement in antiferromagnetic XXZ spin chain with alternating interactions,Physica A: Statistical Mechanics and its Applications,2022,"Department of physics, Beijing Normal University, Beijing, 100875, China; School of Physics and Optoelectronic Engineering, Institute of Theoretical Physics, Ludong University, Yantai, 264025, China","Hu L., Department of physics, Beijing Normal University, Beijing, 100875, China, School of Physics and Optoelectronic Engineering, Institute of Theoretical Physics, Ludong University, Yantai, 264025, China; Xu Y., School of Physics and Optoelectronic Engineering, Institute of Theoretical Physics, Ludong University, Yantai, 264025, China; Zhang P., Department of physics, Beijing Normal University, Beijing, 100875, China, School of Physics and Optoelectronic Engineering, Institute of Theoretical Physics, Ludong University, Yantai, 264025, China; Yan S., Department of physics, Beijing Normal University, Beijing, 100875, China; Kong X., School of Physics and Optoelectronic Engineering, Institute of Theoretical Physics, Ludong University, Yantai, 264025, China;",Alternating interaction; Concurrence; Density matrix renormalization group; Open boundary condition; Quantum entanglement
986, Hu Y.;,Antiferromagnet thickness dependence and rotatable spins in exchange biased CoO/Fe films,Journal of Magnetism and Magnetic Materials,2022,"Physics Department, University of California, Davis, 95616, CA, United States; College of Sciences, Northeastern University, Shenyang, 110819, China; Physics Department, University of California, Berkeley, 94720, CA, United States; Physics Department, Georgetown University, Washington, 20057, DC, United States"," Hu Y., Physics Department, University of California, Davis, 95616, CA, United States, College of Sciences, Northeastern University, Shenyang, 110819, China;",Exchange bias; First order reversal curve; Monte Carlo simulations
987,Yang T.; Qian S.; Deng S.; Xiao J.; Gao L.; Levin A.M.; Li Q.; Lu M.; You Z.;,The physics case for a neutrino lepton collider in light of the CDF W mass measurement,International Journal of Modern Physics A,2022,"State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; School of Physics, Sun Yat-Sen University, Guangzhou, 510275, China","Yang T., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Qian S., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Deng S., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Xiao J., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Gao L., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Levin A.M., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Li Q., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China; Lu M., School of Physics, Sun Yat-Sen University, Guangzhou, 510275, China; You Z., State Key Laboratory of Nuclear Physics and Technology, School of Physics, Peking University, Beijing, 100871, China;",electroweak interactions; muon; neutrino; novel collisions; W boson
988,Zhang Y.-H.; He Y.-F.; Yue H.; Zhang Y.-N.; Shi L.; Jin B.; Dong P.;,Solitary hyoid plasmacytoma with unicentric Castleman disease: A case report and review of literature,World Journal of Clinical Cases,2022,"Department of Otolaryngology-Head and Neck Surgery, Shanghai General Hospital, Shanghai Jiao Tong University, Shanghai, 200080, China; Department of Radiology, Shanghai General Hospital, Shanghai Jiao Tong University, Shanghai, 200080, China; Department of Pathology, Shanghai Cancer Center, Fudan University, Shanghai, 200032, China; NHC Key Laboratory of Molecular Probes and Targeted Diagnosis and Therapy, The Fourth Affiliated Hospital of Harbin Medical University, Heilongjiang Province, Harbin, 150028, China","Zhang Y.-H., Department of Otolaryngology-Head and Neck Surgery, Shanghai General Hospital, Shanghai Jiao Tong University, Shanghai, 200080, China; He Y.-F., Department of Radiology, Shanghai General Hospital, Shanghai Jiao Tong University, Shanghai, 200080, China; Yue H., Department of Pathology, Shanghai Cancer Center, Fudan University, Shanghai, 200032, China; Zhang Y.-N., NHC Key Laboratory of Molecular Probes and Targeted Diagnosis and Therapy, The Fourth Affiliated Hospital of Harbin Medical University, Heilongjiang Province, Harbin, 150028, China; Shi L., NHC Key Laboratory of Molecular Probes and Targeted Diagnosis and Therapy, The Fourth Affiliated Hospital of Harbin Medical University, Heilongjiang Province, Harbin, 150028, China; Jin B., Department of Otolaryngology-Head and Neck Surgery, Shanghai General Hospital, Shanghai Jiao Tong University, Shanghai, 200080, China; Dong P., Department of Otolaryngology-Head and Neck Surgery, Shanghai General Hospital, Shanghai Jiao Tong University, Shanghai, 200080, China;",18f-fdg; Case report; Castleman disease; Hyoid bone; Plasmacytoma; Positron emission tomography/computed tomography
989,Tao Z.; Yao H.; Zhu Y.; Zhou Z.; Chen L.; Yang Y.;,Coordination Supramolecular Network Synergized with Reduced Graphene Oxide Accelerating Redox Kinetics of Lithium-Sulfur Batteries,ACS Applied Energy Materials,2022,"School of Materials Science and Engineering, Sun Yat-sen University, Guangzhou, 510275, China; Coll Chem & Mat, Guangxi Key Lab Nat Polymer Chem & Phys, Nanning Normal University, Guangxi, Nanning, 530001, China","Tao Z., School of Materials Science and Engineering, Sun Yat-sen University, Guangzhou, 510275, China; Yao H., Coll Chem & Mat, Guangxi Key Lab Nat Polymer Chem & Phys, Nanning Normal University, Guangxi, Nanning, 530001, China; Zhu Y., School of Materials Science and Engineering, Sun Yat-sen University, Guangzhou, 510275, China; Zhou Z., School of Materials Science and Engineering, Sun Yat-sen University, Guangzhou, 510275, China; Chen L., School of Materials Science and Engineering, Sun Yat-sen University, Guangzhou, 510275, China; Yang Y., School of Materials Science and Engineering, Sun Yat-sen University, Guangzhou, 510275, China;",coordination supramolecular networks; lithium-sulfur batteries; reduced graphene oxide; synergistic effect; weak interactions
990,Li Y.; Liu B.; Yuan Y.; Qin W.;,Research progress on prostate-specific membrane antigen ligand positron emission tomography imaging of prostate cancer,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,2022,"Department of Nuclear Medicine, Suining Central Hospital, 629000, Sichuan, China; Department of Anorectal, Suining Central Hospital, 629000, Sichuan, China","Li Y., Department of Nuclear Medicine, Suining Central Hospital, 629000, Sichuan, China; Liu B., Department of Nuclear Medicine, Suining Central Hospital, 629000, Sichuan, China; Yuan Y., Department of Anorectal, Suining Central Hospital, 629000, Sichuan, China; Qin W., Department of Nuclear Medicine, Suining Central Hospital, 629000, Sichuan, China;",Biochemical recurrence; Positron emission tomography; Prostate cancer; Prostate specific membrane antigen
